,track_id,track_name,track_artist,extracted_at
0,1DWZUa5Mzf2BwzpHtgbHPY,Good News,Mac Miller,12/07/2024 21:45:00
1,77DRzu7ERs0TX3roZcre7Q,euphoria,Kendrick Lamar,12/07/2024 21:45:00
2,6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,Kendrick Lamar,12/07/2024 21:45:00
3,1SC5rEoYDGUK4NfG82494W,MONTERO (Call Me By Your Name),Lil Nas X,12/07/2024 21:45:00
4,5h5tBFnbcVioFXiOixTn6E,"Bitch, Don’t Kill My Vibe",Kendrick Lamar,12/07/2024 21:45:00
5,6Sk1mETx99njkPH3MIRTn3,Quando o sol se for,Detonautas Roque Clube,12/07/2024 21:45:00
6,0VgkVdmE4gld66l8iyGjgx,Mask Off,Future,12/07/2024 21:45:00
7,1Hgko2YssPJNjOhfJgJ6uo,Colors and Shapes,Mac Miller,12/07/2024 21:45:00
8,4PJEK76V3A1S0XzZJuTWh7,Love Is A Long Road,Tom Petty,12/07/2024 21:45:00
9,0wwPcA6wtMf6HUMpIRdeP7,Hotline Bling,Drake,12/07/2024 21:45:00
10,6eT7xZZlB2mwyzJ2sUKG6w,White Iverson,Post Malone,12/07/2024 21:45:00
11,04eCCSH6sP6biKT8cGgvPe,I'm Not Sorry,Lonely Avenue,12/07/2024 21:45:00
12,1iKjPM2YygFxUqjUakAI4n,Can't Kick Up The Roots,Neck Deep,12/07/2024 21:45:00
13,58GUZ3kjNLZZY1uBmgvoyF,ONE MORE TIME,blink-182,12/07/2024 21:45:00
14,6nsyYPCDUSacgXci9mvWln,Whip A Tesla,Yung Gravy,12/07/2024 21:45:00
15,4jXl6VtkFFKIt3ycUQc5LT,Circles,Mac Miller,12/07/2024 21:45:00
16,1KHKeIouP04dDtl0EetgED,The Downfall Of Us All,A Day To Remember,12/07/2024 21:45:00
17,1maIZ0gsjVbdANLvl4v0ao,Suspended,Sampha,12/07/2024 21:45:00
18,2FfBvhOpRwbKPmb9MOVSIj,No Good,Knuckle Puck,12/07/2024 21:45:00
19,2VQspDUq9kCe8L9aorXuH4,Stereo Colour Cloud (Shaman's Dream),Sampha,12/07/2024 21:45:00
20,4cacyP5c3PMlfnyjpg13xW,Betty (Get Money),Yung Gravy,12/07/2024 21:45:00
21,4z0PnuB07fxtVZZRWsCfxb,100 Grandkids,Mac Miller,12/07/2024 21:45:00
22,5JHNg1hxZFT7TDEphhM4wj,Waiting for the End,Linkin Park,12/07/2024 21:45:00
23,5kqr6EkKEafBGKxzjdXOVP,Hammer,Point North,12/07/2024 21:45:00
24,6XA12laU5GUhas6GcWDLuU,Secrets,State Champs,12/07/2024 21:45:00
25,6gLUKm8nbHJC6yqQ2DC6hJ,Strangers,Real Friends,12/07/2024 21:45:00
26,4HsWOiIPuQ6tCT3suvGWMK,Kali Ma,Neck Deep,12/07/2024 21:45:00
27,4YwIblyn5m2XAJ7ljh5d79,Tudo O Que Você Podia Ser,Milton Nascimento,12/07/2024 21:45:00
28,4LJhJ6DQS7NwE7UKtvcM52,What's My Age Again?,blink-182,12/07/2024 21:45:00
29,6vz3Fyhj6smbuYuaIZHksu,Too Fast (Pull Over) (with Anderson .Paak & Latto),Jay Rock,12/07/2024 21:45:00
30,5VEnzMXc8ocZko4M4TqnR2,ONE MORE TIME,blink-182,12/07/2024 21:45:00
31,0aJrYfARfCKzv6gXjhs4SZ,Upside Down,Jack Johnson,12/07/2024 21:45:00
32,3rEwGRmPVVudVjqdgv0tRR,If It Means A Lot To You,A Day To Remember,12/07/2024 21:45:00
33,4X8VB7lmL7o4QiypDYmqaA,Passing Through A Screen Door,The Wonder Years,12/07/2024 21:45:00
34,21EhWmp2yvVNPa0wCMnvd6,"There, There",The Wonder Years,12/07/2024 21:45:00
35,2m9fyiIA1ADsjZTG9qcnQI,Loud,Mac Miller,12/07/2024 21:45:00
36,427OHPoIWqO3SsFw77EkDf,*Equip Sunglasses*,Hot Mulligan,12/07/2024 21:45:00
37,4gT3mNJA8lnlkYFqGZ8IA2,Small Worlds,Mac Miller,12/07/2024 21:45:00
38,0lgiIwUU7Y10uXfKkgXdjk,In Bloom,Neck Deep,12/07/2024 21:45:00
39,17CWWoszMuoGecCJzmOubE,J CHRIST,Lil Nas X,12/07/2024 21:45:00
40,1UJvaNw3UufXObCph26Li9,forget me too (feat. Halsey),mgk,12/07/2024 21:45:00
41,25Eq9bzwKMX3yZTV4qpp8U,Smooth Seas Don't Make Good Sailors,Neck Deep,12/07/2024 21:45:00
42,2WkY0HQfk5S3L1c5ZZ7kij,Strangers,Trash Boat,12/07/2024 21:45:00
43,43VYmVsIQNj4QZiYLllWjx,Parasitic,Belmont,12/07/2024 21:45:00
44,4SqIMK3ILlAsC4FkVgC4Lf,Serpents,Neck Deep,12/07/2024 21:45:00
45,4mI2zhNm5mhN7s4dYRWEkD,adding up,Smrtdeath,12/07/2024 21:45:00
46,4v2Bq0xDB7uNN73I5b44Du,estella//,KennyHoopla,12/07/2024 21:45:00
47,5jbDih9bLGmI8ycUKkN5XA,Perfect,Logic,12/07/2024 21:45:00
48,6ewEi38RM3ZsihuzX8Z1L3,Featherweight,WSTR,12/07/2024 21:45:00
49,7CabeZgdJrqCdbgSwFeoPQ,The Weekend,Modern Baseball,12/07/2024 21:45:00
