,track_id,track_name,track_artist,extracted_at
0,77DRzu7ERs0TX3roZcre7Q,euphoria,Kendrick Lamar,12/07/2024 21:45:02
1,6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,Kendrick Lamar,12/07/2024 21:45:02
2,1KHKeIouP04dDtl0EetgED,The Downfall Of Us All,A Day To Remember,12/07/2024 21:45:02
3,4YwIblyn5m2XAJ7ljh5d79,Tudo O Que Você Podia Ser,Milton Nascimento,12/07/2024 21:45:02
4,1SC5rEoYDGUK4NfG82494W,MONTERO (Call Me By Your Name),Lil Nas X,12/07/2024 21:45:02
5,7peo1MPjb3r1gtmySPe8uj,Dumbstruck Dumbf**k,Neck Deep,12/07/2024 21:45:02
6,0VgkVdmE4gld66l8iyGjgx,Mask Off,Future,12/07/2024 21:45:02
7,1Hgko2YssPJNjOhfJgJ6uo,Colors and Shapes,Mac Miller,12/07/2024 21:45:02
8,6eT7xZZlB2mwyzJ2sUKG6w,White Iverson,Post Malone,12/07/2024 21:45:02
9,7fzHQizxTqy8wTXwlrgPQQ,MILLION DOLLAR BABY,Tommy Richman,12/07/2024 21:45:02
10,1j8z4TTjJ1YOdoFEDwJTQa,Ain't It Fun,Paramore,12/07/2024 21:45:02
11,6Sk1mETx99njkPH3MIRTn3,Quando o sol se for,Detonautas Roque Clube,12/07/2024 21:45:02
12,41xytZm5J62QK2UCOY8xYv,Go Outside!,Neck Deep,12/07/2024 21:45:02
13,7wLShogStyDeZvL0a6daN5,TEXAS HOLD 'EM,Beyoncé,12/07/2024 21:45:02
14,17CWWoszMuoGecCJzmOubE,J CHRIST,Lil Nas X,12/07/2024 21:45:02
15,37Tmv4NnfQeb0ZgUC4fOJj,Sultans Of Swing,Dire Straits,12/07/2024 21:45:02
16,4v2Bq0xDB7uNN73I5b44Du,estella//,KennyHoopla,12/07/2024 21:45:02
17,58GUZ3kjNLZZY1uBmgvoyF,ONE MORE TIME,blink-182,12/07/2024 21:45:02
18,5JHNg1hxZFT7TDEphhM4wj,Waiting for the End,Linkin Park,12/07/2024 21:45:02
19,5yY9lUy8nbvjM1Uyo1Uqoc,Life Is Good (feat. Drake),Future,12/07/2024 21:45:02
20,0hWCzWl04zT7P6vMy63XCN,DAUGHTER,Beyoncé,12/07/2024 21:45:02
21,1oTo3ijRbaDAtrjJrGAPSw,I Miss You,blink-182,12/07/2024 21:45:02
22,2cVDjo8L7Vxyoa9v3AOYF1,Color You,One Step Closer,12/07/2024 21:45:02
23,6vz3Fyhj6smbuYuaIZHksu,Too Fast (Pull Over) (with Anderson .Paak & Latto),Jay Rock,12/07/2024 21:45:02
24,1DWZUa5Mzf2BwzpHtgbHPY,Good News,Mac Miller,12/07/2024 21:45:02
25,4jXl6VtkFFKIt3ycUQc5LT,Circles,Mac Miller,12/07/2024 21:45:02
26,1maIZ0gsjVbdANLvl4v0ao,Suspended,Sampha,12/07/2024 21:45:02
27,21EhWmp2yvVNPa0wCMnvd6,"There, There",The Wonder Years,12/07/2024 21:45:02
28,2EEeOnHehOozLq4aS0n6SL,iSpy (feat. Lil Yachty),KYLE,12/07/2024 21:45:02
29,2PmMh2t7jAtN6cqFooA0Xy,JOLENE,Beyoncé,12/07/2024 21:45:02
30,2RBsmtiaD90yNFtqkFjBVW,FTP,YG,12/07/2024 21:45:02
31,3HT0SJA32BW7c83sxpq3SF,We Need More Bricks,Neck Deep,12/07/2024 21:45:02
32,3swc6WTsr7rl9DqQKQA55C,Psycho (feat. Ty Dolla $ign),Post Malone,12/07/2024 21:45:02
33,5h5tBFnbcVioFXiOixTn6E,"Bitch, Don’t Kill My Vibe",Kendrick Lamar,12/07/2024 21:45:02
34,6otiaV2fagE3s8IvP6WkwG,I'm Just a Kid,Simple Plan,12/07/2024 21:45:02
35,0G21yYKMZoHa30cYVi1iA8,Welcome To The Jungle,Guns N' Roses,12/07/2024 21:45:02
36,0INUE1K7cEiE8VH63Rv5RJ,Happy?,Mudvayne,12/07/2024 21:45:02
37,0M955bMOoilikPXwKLYpoi,I Hate Everything About You,Three Days Grace,12/07/2024 21:45:02
38,0d8aJLKZI1r4uOSLZBJaBK,The River,Good Charlotte,12/07/2024 21:45:02
39,0kpyiEcH82ni9TuuZYxKzL,Razões E Emoções,NX Zero,12/07/2024 21:45:02
40,18czZN7uruOjftj71Kt8oj,PAID MY DUES,NF,12/07/2024 21:45:02
41,1SnWYWWHRq0P2IQXnWqKwV,Portals,Microwave,12/07/2024 21:45:02
42,1jlG3KJ3gdYmhfuySFfpO1,I'm with You,Avril Lavigne,12/07/2024 21:45:02
43,25Eq9bzwKMX3yZTV4qpp8U,Smooth Seas Don't Make Good Sailors,Neck Deep,12/07/2024 21:45:02
44,2VQspDUq9kCe8L9aorXuH4,Stereo Colour Cloud (Shaman's Dream),Sampha,12/07/2024 21:45:02
45,4mI2zhNm5mhN7s4dYRWEkD,adding up,Smrtdeath,12/07/2024 21:45:02
46,4uVjbl6daCwjhDur7qLddu,I'd Do Anything,Simple Plan,12/07/2024 21:45:02
47,59WN2psjkt1tyaxjspN8fp,Killing In The Name,Rage Against The Machine,12/07/2024 21:45:02
48,5HQVUIKwCEXpe7JIHyY734,"Young, Wild & Free (feat. Bruno Mars)",Snoop Dogg,12/07/2024 21:45:02
49,61mWefnWQOLf90gepjOCb3,Duality,Slipknot,12/07/2024 21:45:02
