,track_id,track_name,track_artist,extracted_at
0,37Tmv4NnfQeb0ZgUC4fOJj,Sultans Of Swing,Dire Straits,12/07/2024 21:45:04
1,4YwIblyn5m2XAJ7ljh5d79,Tudo O Que Você Podia Ser,Milton Nascimento,12/07/2024 21:45:04
2,2EEeOnHehOozLq4aS0n6SL,iSpy (feat. Lil Yachty),KYLE,12/07/2024 21:45:04
3,6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,Kendrick Lamar,12/07/2024 21:45:04
4,0YAQnYt2oB8OdoaeqnHyTI,Tribe (with J. Cole),Bas,12/07/2024 21:45:04
5,1oTo3ijRbaDAtrjJrGAPSw,I Miss You,blink-182,12/07/2024 21:45:04
6,2dhV6VPKdqNg85vgv16xjo,Cheiro De Amor,Maria Bethânia,12/07/2024 21:45:04
7,3DK6m7It6Pw857FcQftMds,Runaway,Kanye West,12/07/2024 21:45:04
8,3RAFcUBrCNaboRXoP3S5t1,Psychosocial,Slipknot,12/07/2024 21:45:04
9,3elV4E1GOKfF0MVRgdp6eU,Brothers In Arms - Remastered 1996,Dire Straits,12/07/2024 21:45:04
10,3swc6WTsr7rl9DqQKQA55C,Psycho (feat. Ty Dolla $ign),Post Malone,12/07/2024 21:45:04
11,4WRrbhBfRvpdt4QomOhcHZ,Os Povos,Milton Nascimento,12/07/2024 21:45:04
12,6IPwKM3fUUzlElbvKw2sKl,we fell in love in october,girl in red,12/07/2024 21:45:04
13,6MpCaSIOfqBqbMED4kXgNY,Prom Queen,Beach Bunny,12/07/2024 21:45:04
14,7q32daOSf12k8WynvXBcyh,Vertigo,Beach Bunny,12/07/2024 21:45:04
15,5AJ9hqTS2wcFQCELCFRO7A,MILLION DOLLAR BABY,Tommy Richman,12/07/2024 21:45:04
16,5f6esnDQcBiFAm8iMfkw12,Silkk da Shocka (feat. Syd),Isaiah Rashad,12/07/2024 21:45:04
17,0Thqjtu54vKMP06pwZkAWp,G.O.M.D,J. Cole,12/07/2024 21:45:04
18,0ZNrc4kNeQYD9koZ3KvCsy,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,12/07/2024 21:45:04
19,0aASUtDb1N96NJDwmWj5Gf,Anna Júlia,Los Hermanos,12/07/2024 21:45:04
20,0bhMkdnacSRmyaJSBRJkSh,Saídas E Bandeiras Nº 2,Milton Nascimento,12/07/2024 21:45:04
21,0gjvm0ApsGnl3hbbo2v2m8,Dos Cruces,Milton Nascimento,12/07/2024 21:45:04
22,0lq9TEXMVVSDcaj1azH6Po,O Trem Azul,Lô Borges,12/07/2024 21:45:04
23,18czZN7uruOjftj71Kt8oj,PAID MY DUES,NF,12/07/2024 21:45:04
24,1SGt65i9AnXYdDQt1AtDRH,3500 (feat. Future & 2 Chainz),Travis Scott,12/07/2024 21:45:04
25,1UvOFJFyfsm2OJkE3s48fs,Cais,Milton Nascimento,12/07/2024 21:45:04
26,1sdW2whJr8CLa6bMA67LPQ,Clube Da Esquina Nº 2,Milton Nascimento,12/07/2024 21:45:04
27,27GmP9AWRs744SzKcpJsTZ,Jumpman,Drake,12/07/2024 21:45:04
28,2NyTK2DNx8wKCCtCxHBPcS,Saídas E Bandeiras Nº 1,Milton Nascimento,12/07/2024 21:45:04
29,2Pj7HeGeJTkka3l1m649YG,Me Deixa Em Paz,Milton Nascimento,12/07/2024 21:45:04
30,2RBcYkonAofm0rYycVrCGt,Lady Writer,Dire Straits,12/07/2024 21:45:04
31,2RBsmtiaD90yNFtqkFjBVW,FTP,YG,12/07/2024 21:45:04
32,2RPbEp0DyBVlkRvvYKopO7,Wat's Wrong (feat. Zacari & Kendrick Lamar),Isaiah Rashad,12/07/2024 21:45:04
33,2eDUcjS6SSDJd6Rcx4TFkd,Um Girassol Da Cor Do Seu Cabelo,Lô Borges,12/07/2024 21:45:04
34,2ngYPzVuDUv82pcmI0tizT,Black Magic,Yung Mavu,12/07/2024 21:45:04
35,2pFVNjxjAu24qGpNPxBqxj,San Vicente,Milton Nascimento,12/07/2024 21:45:04
36,3BbS4oLUDNOLctshheQucc,Senior Skip Day,Mac Miller,12/07/2024 21:45:04
37,3DzlR0kXE6shimFVhSwI4A,Trouble on My Mind,Pusha T,12/07/2024 21:45:04
38,3NLrRZoMF0Lx6zTlYqeIo4,Here Without You,3 Doors Down,12/07/2024 21:45:04
39,3YD9EehnGOf88rGSZFrnHg,Stay Together For The Kids,blink-182,12/07/2024 21:45:04
40,49zD0wr2S3d0lZPib0K4e1,F*ck Up Some Commas,Future,12/07/2024 21:45:04
41,4IPYyiEzF9DEIvLIkHUiro,Paisagem Da Janela,Lô Borges,12/07/2024 21:45:04
42,4MwObkwylEpWbpVEZjsqSG,Um Gosto De Sol,Milton Nascimento,12/07/2024 21:45:04
43,4VWdOayiIDPEZNf7qBRylL,Cravo E Canela,Milton Nascimento,12/07/2024 21:45:04
44,4j3X4KX8rURekAVIFUhI23,Perfect,Simple Plan,12/07/2024 21:45:04
45,4nFNJmjfgBF7jwv2oBC45b,Money For Nothing - Remastered 1996,Dire Straits,12/07/2024 21:45:04
46,5HQVUIKwCEXpe7JIHyY734,"Young, Wild & Free (feat. Bruno Mars)",Snoop Dogg,12/07/2024 21:45:04
47,5Hk4Mpex0s2ndUpDQ5v2rU,Walk Of Life - Remastered 1996,Dire Straits,12/07/2024 21:45:04
48,5NFYuqu8V6QXc6mzcLImd6,Hype,Drake,12/07/2024 21:45:04
49,5VPFATm85G3P04Q5g8yxqr,Nelly,Isaiah Rashad,12/07/2024 21:45:04
