,artist_id,artist_name,artist_url,album_id,album_name,album_release_date,album_total_tracks,album_url,track_id,track_name,track_length,played_at,extracted_at
0,12BlQzNeSJJOSrPciICYFu,Pi Teddy,https://open.spotify.com/artist/12BlQzNeSJJOSrPciICYFu,7ziI4iKKqgzM6QwUhp5HZD,"bro, I got this",2024-03-20,1,https://open.spotify.com/album/7ziI4iKKqgzM6QwUhp5HZD,0N2rxpezHCsA5GnlGJGunk,"bro, I got this",126000,2024-07-12T22:20:08.666Z,12/07/2024 21:44:54
1,4yliz9yN6pHtswgNVEjiw0,Calm Like Carl,https://open.spotify.com/artist/4yliz9yN6pHtswgNVEjiw0,3IMePNMlrZRLcjRj6D9bvz,Uptown Train,2021-06-07,1,https://open.spotify.com/album/3IMePNMlrZRLcjRj6D9bvz,5LOf0bNrydlqUgro73awjW,Uptown Train,172242,2024-07-12T22:18:22.014Z,12/07/2024 21:44:54
2,10AsJvn27mBPRP1G05gQs1,Recaps,https://open.spotify.com/artist/10AsJvn27mBPRP1G05gQs1,5HfJlErhpKw5scselQANe3,Stickwithit,2021-07-05,1,https://open.spotify.com/album/5HfJlErhpKw5scselQANe3,4oHP5Y5kJXrnNPh6M7iMsn,Stickwithit,168727,2024-07-12T22:15:49.371Z,12/07/2024 21:44:54
3,0dmRquUJ70tvTf8xxeohPa,Mirá,https://open.spotify.com/artist/0dmRquUJ70tvTf8xxeohPa,4GuhPC2YJ4vk9njh103Zut,fruta verde,2023-09-29,1,https://open.spotify.com/album/4GuhPC2YJ4vk9njh103Zut,5r8OKzdJadvERTJyPPCUCg,fruta verde,111493,2024-07-12T22:13:30.214Z,12/07/2024 21:44:54
4,4qLyv8RotSOSjWze2rJD7O,Breakfast For Brunch,https://open.spotify.com/artist/4qLyv8RotSOSjWze2rJD7O,7ajrWkAMXtm6aosZeWiSe4,Post It Beats Pt.1,2021-06-04,3,https://open.spotify.com/album/7ajrWkAMXtm6aosZeWiSe4,0PMlGvzeLrQ27h8oGyfGMV,After Surf Sandwich,152200,2024-07-12T22:11:50.652Z,12/07/2024 21:44:54
5,75RGXEBlI9OL7jBSMlf12W,7th Indigo,https://open.spotify.com/artist/75RGXEBlI9OL7jBSMlf12W,13ibuGYy5u0rlDYb9nzxAW,Midnight City,2023-03-31,1,https://open.spotify.com/album/13ibuGYy5u0rlDYb9nzxAW,2MFcMNpz6Et7kFYGAz6SSi,Midnight City,162000,2024-07-12T22:09:41.988Z,12/07/2024 21:44:54
6,2DgL3THTMvM0MfSTaYYMAI,Silk Soul,https://open.spotify.com/artist/2DgL3THTMvM0MfSTaYYMAI,4aE1MMVBFm1WESG0pRYHJs,Incredibly happy,2023-10-20,1,https://open.spotify.com/album/4aE1MMVBFm1WESG0pRYHJs,6FVL1EGTz7nWEzuUz6VpvF,Incredibly happy,159000,2024-07-12T22:07:06.303Z,12/07/2024 21:44:54
7,6bQY0OdvrUz4BUlajKcLfF,Steefann,https://open.spotify.com/artist/6bQY0OdvrUz4BUlajKcLfF,4MACdcvjpSigHwHLxWDhyx,Really Get Going,2021-10-15,1,https://open.spotify.com/album/4MACdcvjpSigHwHLxWDhyx,69Go42QZw7dC2Ehl0pZhCi,Really Get Going,155294,2024-07-12T22:04:33.052Z,12/07/2024 21:44:54
8,46ex27gVTAa49Ikzk0M6jU,Von Von Bon,https://open.spotify.com/artist/46ex27gVTAa49Ikzk0M6jU,2Oiaj5rQK2zBL5xBtGUhlV,Seven,2021-05-07,1,https://open.spotify.com/album/2Oiaj5rQK2zBL5xBtGUhlV,3UdSY1SgSF60lpYdMbmeXm,Seven,149333,2024-07-12T22:02:11.817Z,12/07/2024 21:44:54
9,19K0OLGUGXU9PGvbJ2aAHn,Mike Oliver,https://open.spotify.com/artist/19K0OLGUGXU9PGvbJ2aAHn,5QTYGdQ4X4lUNpf7cV5Z6d,Sleepless Times,2022-11-11,3,https://open.spotify.com/album/5QTYGdQ4X4lUNpf7cV5Z6d,0SIjNbculfq6PiPg1PkggT,Sleepless Times,152166,2024-07-12T21:59:53.498Z,12/07/2024 21:44:54
10,6C3HjDxIciOd8XvkEnNamY,Blutone,https://open.spotify.com/artist/6C3HjDxIciOd8XvkEnNamY,5ISSZnA4V8C7eCia0WIhsY,Sharingan,2021-09-28,3,https://open.spotify.com/album/5ISSZnA4V8C7eCia0WIhsY,0Y5hAGvfwXoQnjWEd90ju2,Ilene,129000,2024-07-12T21:57:34.778Z,12/07/2024 21:44:54
11,0PuasH1K6rjltXwNAl06wQ,Skeleton Panda,https://open.spotify.com/artist/0PuasH1K6rjltXwNAl06wQ,0JL0uJmED5AQeBfgmqDDwP,Rugged Soul,2022-03-13,3,https://open.spotify.com/album/0JL0uJmED5AQeBfgmqDDwP,32j4lUE7CpoTIGUVM2ZN9n,Rugged Soul,99375,2024-07-12T21:55:34.483Z,12/07/2024 21:44:54
12,4qLyv8RotSOSjWze2rJD7O,Breakfast For Brunch,https://open.spotify.com/artist/4qLyv8RotSOSjWze2rJD7O,0DCV1oGMFWeM9lB2pvYPaN,Surfing Cats,2024-03-15,1,https://open.spotify.com/album/0DCV1oGMFWeM9lB2pvYPaN,3nhlmeGm7FdqFo3rVO7hS2,Surfing Cats,128248,2024-07-12T21:54:05.078Z,12/07/2024 21:44:54
13,4EQ0a6RygiHzb95fmQYc72,uniqlesse,https://open.spotify.com/artist/4EQ0a6RygiHzb95fmQYc72,5mtJbn2mK0qS0iInJ9tmIt,A Few Days Ahead,2022-01-07,1,https://open.spotify.com/album/5mtJbn2mK0qS0iInJ9tmIt,29Piig79HQpigQuUtxshPv,A Few Days Ahead,142318,2024-07-12T21:50:57.395Z,12/07/2024 21:44:54
14,6lG54eZ9rnLWDSoaV4GtRE,Fairground Fish,https://open.spotify.com/artist/6lG54eZ9rnLWDSoaV4GtRE,4EBEcFilrfd78jF1pIUe2M,XYZ,2021-10-25,3,https://open.spotify.com/album/4EBEcFilrfd78jF1pIUe2M,0uA5haTZ3KkIWXReBo9PX1,Toys,142705,2024-07-12T21:48:42.339Z,12/07/2024 21:44:54
15,2YEOM2LGal4G2Z2GkbbAlA,Little Lazy Lights,https://open.spotify.com/artist/2YEOM2LGal4G2Z2GkbbAlA,5yDhrdMgbYA3EdMkKBYads,Friday,2021-08-30,2,https://open.spotify.com/album/5yDhrdMgbYA3EdMkKBYads,0VMPNNbZcV6aP0O9ZCLNhe,Friday,216688,2024-07-12T21:46:53.980Z,12/07/2024 21:44:54
16,4kr96RAgKYYkht9GMqFKY1,Hawk Town,https://open.spotify.com/artist/4kr96RAgKYYkht9GMqFKY1,0JjSuWZ8awn89gBUKP4urE,Sunny Side,2021-10-04,3,https://open.spotify.com/album/0JjSuWZ8awn89gBUKP4urE,2J8gE4IMrJhOpKad0UgM25,Sunny Side,157500,2024-07-12T21:44:06.782Z,12/07/2024 21:44:54
17,4EtruNo3qv5ML5tiXQopqT,RenBoz,https://open.spotify.com/artist/4EtruNo3qv5ML5tiXQopqT,0uXRH3JgRswqkavOFcL8yh,Weekends,2022-11-15,1,https://open.spotify.com/album/0uXRH3JgRswqkavOFcL8yh,5oUn6WpmemZm5STqFPaWRQ,Weekends,123000,2024-07-12T21:41:47.812Z,12/07/2024 21:44:54
18,7sXI0WtuyDELsesS7kW4qF,Lake Valley,https://open.spotify.com/artist/7sXI0WtuyDELsesS7kW4qF,6zLHXiO7t2klPX6w5Dpt2T,Blank Canvas,2021-11-05,1,https://open.spotify.com/album/6zLHXiO7t2klPX6w5Dpt2T,4R9fYpcyz1BUFZ7FCiuJXg,Blank Canvas,152470,2024-07-12T21:39:59.877Z,12/07/2024 21:44:54
19,2rVT5Vmfp9tvqtvAQU0r4f,Govii,https://open.spotify.com/artist/2rVT5Vmfp9tvqtvAQU0r4f,6ENsgfts4fxKpxve4szGlD,hot sauce expert,2024-01-07,1,https://open.spotify.com/album/6ENsgfts4fxKpxve4szGlD,6Y9htoJ4aK8doMsrfSjfZk,hot sauce expert,123000,2024-07-12T21:37:44.497Z,12/07/2024 21:44:54
20,5dsmlVS4HsQ44fEGCmARw4,Little Smokey,https://open.spotify.com/artist/5dsmlVS4HsQ44fEGCmARw4,2NIMu0HL4nNuoXMagc9CJQ,Holy Smokes,2022-03-28,4,https://open.spotify.com/album/2NIMu0HL4nNuoXMagc9CJQ,0rQsaAlvPA5hJhOJKyUuUv,Holy Smokes,91235,2024-07-12T21:36:08.090Z,12/07/2024 21:44:54
21,3HrkUrHEDPnVCg92aTL15T,Blue Boatz,https://open.spotify.com/artist/3HrkUrHEDPnVCg92aTL15T,2QC94ST7Lx4VaHNarIk6zc,Westminster,2021-04-13,1,https://open.spotify.com/album/2QC94ST7Lx4VaHNarIk6zc,4xJIJavUzBatJRvs8v48dF,Westminster,164333,2024-07-12T21:34:54.751Z,12/07/2024 21:44:54
22,4ypPDohUBzURhyETVv552h,Blac Bamboo,https://open.spotify.com/artist/4ypPDohUBzURhyETVv552h,7aUkxRDRbuwhLi6GCTqIIR,L0vesick / Pepper & Salt,2022-04-15,2,https://open.spotify.com/album/7aUkxRDRbuwhLi6GCTqIIR,36IEz2n1LIpsJF40eNYsz2,Pepper & Salt,250302,2024-07-12T21:32:35.848Z,12/07/2024 21:44:54
23,39ZQx0618UYVBgGTDOJ2ds,FloFilz,https://open.spotify.com/artist/39ZQx0618UYVBgGTDOJ2ds,2BAcDgcs2TDG41gXVkpjg9,Vulkán,2024-05-24,1,https://open.spotify.com/album/2BAcDgcs2TDG41gXVkpjg9,1HmRdmNEXUJtxQ0Sw2Sa1d,Vulkán,93272,2024-07-12T21:28:49.946Z,12/07/2024 21:44:54
24,6e1SIZMnXuUFsXt7xMbkg0,mädmäx,https://open.spotify.com/artist/6e1SIZMnXuUFsXt7xMbkg0,3yXtU54s6r53vugtdj9OSM,Midnight Distortions,2023-03-01,1,https://open.spotify.com/album/3yXtU54s6r53vugtdj9OSM,2nzFbnBMtwhpdSxIpIKjzr,Midnight Distortions,65581,2024-07-12T21:27:33.702Z,12/07/2024 21:44:54
25,3PsElXP6TTwUalgNPiyyzH,FREJA,https://open.spotify.com/artist/3PsElXP6TTwUalgNPiyyzH,66Hlh8PrfWYt81ZZsZoL3N,minnen,2021-04-16,1,https://open.spotify.com/album/66Hlh8PrfWYt81ZZsZoL3N,09EA7muQkLpLQRFUcEBtK1,minnen,158181,2024-07-12T21:26:40.021Z,12/07/2024 21:44:54
26,6k0mhNZbwZiBIXcihGHwn9,Chillide,https://open.spotify.com/artist/6k0mhNZbwZiBIXcihGHwn9,7yNwWw24BP1Sr2T2yw9BBa,Stockholm,2021-10-22,1,https://open.spotify.com/album/7yNwWw24BP1Sr2T2yw9BBa,5nRHqipQw774uJ6y3KmECc,Stockholm,96000,2024-07-12T21:24:29.820Z,12/07/2024 21:44:54
